sample_id,max_lai,final_shoot_dm,final_ear_dm,mean_top20_theta,seasonal_transpiration_deficit,seasonal_potential_transpiration,seasonal_actual_transpiration,matured,maturity_date
342,4.84,376.463,207.43,0.20735992731213276,0.012101662233870769,386.889,382.207,True,2007-09-27
343,4.84,376.828,207.57,0.20738505697246096,0.012209150529545743,386.841,382.118,True,2007-09-27
344,5.7,396.147,216.79,0.20257452332672216,0.012302391470212282,411.546,406.483,True,2007-09-27
345,5.7,398.524,219.63,0.2528979879944571,0.019271096010405442,414.403,406.417,True,2007-09-27
346,5.71,398.67,219.97,0.2493807227080245,0.019237808989846394,415.224,407.236,True,2007-09-27
347,5.7,398.341,220.14,0.2528273676795979,0.023257774469919834,415.173,405.517,True,2007-09-28
348,5.7,398.206,220.4,0.2528343975970471,0.023261023513939327,415.158,405.501,True,2007-09-28
349,5.7,398.635,220.42,0.25578114503086913,0.021818899286097482,415.603,406.535,True,2007-09-28
350,5.7,394.948,218.44,0.2143122390057449,0.018654694068876543,409.602,401.961,True,2007-09-28
351,3.17,325.599,230.53,0.24586474352792131,0.009895173694566828,316.619,313.486,True,2007-09-16
352,3.17,325.583,230.45,0.24584797659000696,0.009893729335381574,316.362,313.232,True,2007-09-16
353,3.23,329.902,221.83,0.24522503432438944,0.009788442336495229,320.48,317.343,True,2007-09-21
354,3.23,330.313,222.21,0.24065123626761165,0.009697037639079698,321.129,318.015,True,2007-09-21
355,3.23,330.141,221.78,0.23476073381870446,0.007942018921968663,322.588,320.026,True,2007-09-21
356,3.23,330.222,221.83,0.23685435412056277,0.007407728296655702,323.176,320.782,True,2007-09-21
357,3.23,323.268,216.96,0.19285318510267543,0.004673779624209229,338.912,337.328,True,2007-09-21
358,4.09,355.207,213.1,0.18880135039123755,0.007693821384721633,360.809,358.033,True,2007-09-24
359,4.14,372.074,229.74,0.18722138743081543,0.007573660167605523,375.644,372.799,True,2007-09-28
360,4.14,372.385,229.86,0.18718445430863603,0.007579203877657981,375.897,373.048,True,2007-09-28
361,4.15,365.807,226.24,0.1603556041015658,0.0072725108289525275,369.611,366.923,True,2007-09-28
362,4.14,365.755,226.14,0.16029284298640825,0.007227705122595629,370.242,367.566,True,2007-09-28
363,4.99,376.325,226.92,0.15361314109894583,0.010971648575164417,385.448,381.219,True,2007-09-29
364,4.99,371.272,212.86,0.153146041421389,0.01179647637718606,385.115,380.572,True,2007-09-29
365,3.2,349.332,253.78,0.23629978395253315,0.008460792188089261,347.367,344.428,True,2007-09-27
366,4.13,376.95,236.79,0.23124068936747436,0.01228724521958413,380.72,376.042,True,2007-09-27
367,4.13,376.937,236.83,0.23123128276744934,0.012380354332467092,380.603,375.891,True,2007-09-27
368,4.13,377.005,236.89,0.23127142831717476,0.012316345572581322,380.47,375.784,True,2007-09-27
369,4.13,377.43,237.22,0.23320376450394678,0.011373231864979183,381.334,376.997,True,2007-09-27
370,4.13,378.51,238.21,0.23912740615177644,0.012982211407354671,381.368,376.417,True,2007-09-27
371,4.13,379.324,238.8,0.23469555833151817,0.012674738349905401,382.572,377.723,True,2007-09-27
372,4.14,374.246,236.01,0.19212034726171062,0.0090240232016503,383.421,379.961,True,2007-09-27
373,4.96,401.292,253.09,0.18664080054179757,0.009292296010007806,410.878,407.06,True,2007-09-28
374,4.98,387.044,236.28,0.18964992798934543,0.009127933934009236,398.995,395.353,True,2007-09-29
375,4.98,375.718,226.78,0.15926202050773014,0.011604534542822509,384.074,379.617,True,2007-09-29
376,4.91,377.182,228.79,0.1605094494732301,0.010920174911665415,381.221,377.058,True,2007-09-27
377,4.9,372.298,215.38,0.15980627312374665,0.011827956989247324,382.23,377.709,True,2007-09-27
378,4.9,372.068,214.83,0.15981556377697778,0.011831626848691656,382.365,377.841,True,2007-09-27
379,4.51,387.669,245.32,0.27219689489560445,0.016823092804397755,394.755,388.114,True,2007-09-27
380,4.51,386.961,244.81,0.27687020372129845,0.019065912206592817,394.631,387.107,True,2007-09-27
381,4.51,387.122,244.71,0.2768398895525286,0.019115799286640756,394.752,387.206,True,2007-09-27
382,4.53,384.303,242.13,0.2257266261278711,0.013027137538905942,393.256,388.133,True,2007-09-27
383,4.53,385.934,243.53,0.22104385931100365,0.01254155564014725,394.05,389.108,True,2007-09-27
384,4.53,386.06,243.45,0.22341069647798584,0.011592786598039972,394.987,390.408,True,2007-09-27
385,3.46,361.258,271.5,0.22877870943121295,0.007098535754101909,361.483,358.917,True,2007-09-27
386,3.48,376.669,286.94,0.22752789281107968,0.007784594446459736,377.669,374.729,False,
387,4.14,398.676,301.51,0.22345411820222197,0.00836371757585197,398.507,395.174,False,
388,4.14,398.812,301.66,0.22344660280995757,0.008379636356348752,399.182,395.837,False,
389,4.14,398.801,301.52,0.22355359667800298,0.008412421799581349,398.815,395.46,False,
390,4.27,386.066,264.69,0.2249436320975556,0.009123432871011028,390.204,386.644,False,
391,4.27,387.899,265.02,0.22488346593602282,0.00873916251614093,390.312,386.901,False,
392,4.27,383.31,261.22,0.19487831450988058,0.009412542766532472,384.062,380.447,False,
393,4.46,378.333,224.47,0.20117986037323507,0.014296772316627848,384.982,379.478,True,2007-09-27
394,4.44,359.771,205.97,0.20390382566973142,0.01415392565959106,363.786,358.637,True,2007-09-22
395,4.45,359.181,205.18,0.20793965069113138,0.014634861857199422,361.329,356.041,True,2007-09-22
